,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_Win%,PlayerA_bestof,PlayerA_minutes,PlayerA_svpt%,PlayerA_1st_serve%,PlayerA_1st_serve_won%,PlayerA_2nd_serve_won%,PlayerA_ace%,PlayerA_df%,PlayerA_bp_faced%,PlayerA_bp_saved%,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_Win%,PlayerB_bestof,PlayerB_minutes,PlayerB_svpt%,PlayerB_1st_serve%,PlayerB_1st_serve_won%,PlayerB_2nd_serve_won%,PlayerB_ace%,PlayerB_df%,PlayerB_bp_faced%,PlayerB_bp_saved%,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
38,Juan Carlos Ferrero,Rainer Schuettler,2003,155,64.0000000000,8.0000000000,103507.0000000000,102783.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,183.0000000000,23.2251870000,3.0000000000,3275.0000000000,0.7500000000,3.0000000000,89.1250000000,0.4927963750,0.6339522500,0.6987022500,0.4878375000,0.0533155000,0.0309978750,0.0994488750,0.7138888750,180.0000000000,27.0253260000,13.0000000000,1650.0000000000,0.5000000000,3.0000000000,125.0000000000,0.4878335000,0.6895060000,0.7000000000,0.4923075000,0.0154980000,0.0272625000,0.0855555000,0.7222220000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
39,Roger Federer,Juan Carlos Ferrero,2003,155,64.0000000000,4.0000000000,103819.0000000000,103507.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,185.0000000000,21.7385350000,5.0000000000,2545.0000000000,0.6250000000,3.2500000000,101.6250000000,0.5099642500,0.5423952500,0.7587227500,0.5487346250,0.0579511250,0.0399448750,0.0529718750,0.5073967500,183.0000000000,23.2251870000,3.0000000000,3275.0000000000,0.7500000000,3.0000000000,89.1250000000,0.4927963750,0.6339522500,0.6987022500,0.4878375000,0.0533155000,0.0309978750,0.0994488750,0.7138888750,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
40,Yevgeny Kafelnikov,Younes El Aynaoui,2003,134,64.0000000000,64.0000000000,102338.0000000000,101962.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,190.0000000000,29.1498970000,27.0000000000,1145.0000000000,0.3333333333,3.0000000000,118.3333333333,0.4734396667,0.5289133333,0.6018720000,0.4591440000,0.0392600000,0.0325990000,0.1294383333,0.5425923333,193.0000000000,31.5865840000,18.0000000000,1435.0000000000,0.4000000000,3.8000000000,178.2000000000,0.5086766000,0.6604694000,0.7741676000,0.4966310000,0.1104294000,0.0382014000,0.0504320000,0.5538462000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
45,Carlos Moya,Tommy Robredo,2003,134,64.0000000000,16.0000000000,102845.0000000000,103990.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,190.0000000000,26.6283380000,4.0000000000,2970.0000000000,0.6000000000,3.0000000000,81.4000000000,0.4709606000,0.5538006000,0.6813700000,0.5643090000,0.0617862000,0.0208044000,0.0774004000,0.5576924000,180.0000000000,20.9527720000,25.0000000000,1225.0000000000,0.5000000000,3.0000000000,89.5000000000,0.5066880000,0.5732530000,0.6057690000,0.4872310000,0.0462965000,0.0296295000,0.0840965000,0.2916665000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
49,Andre Agassi,Yevgeny Kafelnikov,2003,265,128.0000000000,32.0000000000,101736.0000000000,102338.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,33.3223840000,1.0000000000,3920.0000000000,0.7093172192,3.5629198351,112.3827306622,0.4624186589,0.6407320887,0.7405970236,0.5620764649,0.0675456053,0.0220774973,0.0669004019,0.5923635887,190.0000000000,29.5140300000,28.0000000000,1130.0000000000,0.5501283432,3.0000000000,105.5186283876,0.4908228704,0.6078255065,0.6188934392,0.5078327307,0.0265897125,0.0303290196,0.1003431436,0.5213048508,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
50,Younes El Aynaoui,Jiri Novak,2003,265,128.0000000000,32.0000000000,101962.0000000000,102562.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,193.0000000000,31.9507200000,21.0000000000,1260.0000000000,0.3038627090,3.4309016716,133.3948795496,0.5326568056,0.6667292689,0.7378765310,0.4732384640,0.1107974190,0.0334092782,0.0676295495,0.5940041716,190.0000000000,28.4271050000,10.0000000000,1795.0000000000,0.3107257825,3.4463710875,103.1036911263,0.5094868331,0.6569540784,0.6432049577,0.4474580467,0.0328658239,0.0276307059,0.1087279725,0.6077113707,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
51,David Nalbandian,Mark Philippoussis,2003,265,128.0000000000,32.0000000000,103900.0000000000,102882.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,21.6454490000,13.0000000000,1700.0000000000,0.6077254179,3.4309016716,117.6690189532,0.4899785472,0.5976096521,0.6661148009,0.4919817073,0.0337693539,0.0354297034,0.1007266901,0.5000969807,196.0000000000,26.7953450000,20.0000000000,1310.0000000000,0.5000000000,3.0000000000,98.5000000000,0.5623470000,0.6246705000,0.7313020000,0.4865830000,0.1512490000,0.0206290000,0.0960790000,0.7569445000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
52,Lleyton Hewitt,Paradorn Srichaphan,2003,265,128.0000000000,16.0000000000,103720.0000000000,103387.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,22.4969200000,6.0000000000,2725.0000000000,0.4598510107,3.3445363615,120.6049635192,0.5097283210,0.5080702991,0.7209399254,0.5523207729,0.0684299645,0.0362562091,0.0898735177,0.7242795213,185.0000000000,24.1971240000,11.0000000000,1730.0000000000,0.1455740000,3.2911480001,96.8426700087,0.4927245110,0.5320966018,0.6900088218,0.5353377098,0.0653431196,0.0247574790,0.0997421213,0.6010398351,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
53,Sjeng Schalken,Rainer Schuettler,2003,265,128.0000000000,16.0000000000,102854.0000000000,102783.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,193.0000000000,26.9596180000,12.0000000000,1715.0000000000,0.2879474252,3.4319211378,90.8354654260,0.4859168353,0.6495733703,0.6300815869,0.4937937216,0.0296790291,0.0248408995,0.1127536817,0.5150212599,180.0000000000,27.3319640000,8.0000000000,2270.0000000000,0.5833333333,3.3333333333,108.1666666667,0.5006001667,0.6009896667,0.6865269167,0.5532221667,0.0340260000,0.0324350833,0.0970434167,0.5417328333,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
54,Younes El Aynaoui,Carlos Moya,2003,265,128.0000000000,16.0000000000,101962.0000000000,102845.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,193.0000000000,31.9507200000,21.0000000000,1260.0000000000,0.3038627090,3.4309016716,133.3948795496,0.5326568056,0.6667292689,0.7378765310,0.4732384640,0.1107974190,0.0334092782,0.0676295495,0.5940041716,190.0000000000,26.9924720000,7.0000000000,2570.0000000000,0.6865396192,3.1567301904,89.8401245729,0.4841833406,0.5336682748,0.7101372501,0.5562099550,0.0492559250,0.0294080792,0.0911753331,0.6930170099,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
