,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
21,Sebastien Grosjean,Joachim Johansson,2005,159,64.0000000000,64.0000000000,103206.0000000000,104026.0000000000,0.0000000000,0.0000000000,-2.2645413340,0.9842820599,1.1498895958,-0.1348179669,-0.2806521655,-0.9036719070,-0.9613893566,-0.3700056156,-1.4261651696,-1.2845059546,-1.3052023055,-2.4370713624,-1.9218017131,1.9331877245,0.3083661720,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
22,Andre Agassi,Feliciano Lopez,2005,159,64.0000000000,64.0000000000,101736.0000000000,103852.0000000000,0.0000000000,0.0000000000,-0.7777989082,2.7081449547,-1.3954840290,0.2707973818,1.7700689271,0.7603188990,0.1381637339,-2.2333818080,0.1423652967,0.5696456730,1.0695389376,-0.4687146681,-0.3043292586,-0.3659959276,1.2155008877,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
23,Tommy Haas,Dominik Hrbaty,2005,159,64.0000000000,64.0000000000,103163.0000000000,103103.0000000000,0.0000000000,0.0000000000,0.5107111941,-0.0385346328,0.3263863643,-0.0252394204,-0.9305511285,-1.8826815354,-0.8239623839,-0.3487273806,-0.3413889585,1.0322284689,-0.1778345223,0.6547170417,-0.6208468726,-1.9342479117,-1.7027129768,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
24,Nicolas Massu,Andy Roddick,2005,159,64.0000000000,64.0000000000,103454.0000000000,104053.0000000000,0.0000000000,0.0000000000,-0.4804504231,0.7006331539,1.6739371068,-0.6053317714,-1.1368537265,-1.4255852521,0.4253701183,-0.6031714435,-0.7329433767,-2.4633405230,-1.6928178861,-2.1805654552,1.9730117272,2.7990036476,0.3286657886,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
25,Guillermo Coria,Mikhail Youzhny,2005,159,64.0000000000,32.0000000000,103909.0000000000,104022.0000000000,0.0000000000,0.0000000000,-0.7777989082,0.1242890941,-1.1708922386,0.2658051929,1.1066479860,1.4076272481,2.2881483395,-1.5078052741,1.8470017803,1.0713980533,0.9810038563,-0.0120597339,0.1329765374,-1.8519945667,-1.3068915648,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
26,Fernando Gonzalez,Mario Ancic,2005,159,64.0000000000,32.0000000000,103602.0000000000,104339.0000000000,0.0000000000,0.0000000000,-1.2733797168,0.8847787630,0.1766585040,-0.0075171498,0.0154132275,0.2859201138,-0.5155637722,-1.9065524476,-0.1289327265,-0.5838518642,0.4955178295,-1.0349529835,1.7404693989,0.8984434575,0.0168277413,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
27,Sebastien Grosjean,Nicolas Kiefer,2005,159,64.0000000000,32.0000000000,103206.0000000000,103017.0000000000,0.0000000000,0.0000000000,-0.7777989082,-0.1929587446,-0.1227972166,0.0037152753,-0.6067055744,1.1540804417,0.6591644211,0.5283123191,-0.5007594359,-0.3281497422,0.4424964004,-0.0731500033,-2.1071108260,-0.2740832041,0.9204320922,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
28,Dominik Hrbaty,Radek Stepanek,2005,159,64.0000000000,32.0000000000,103103.0000000000,103285.0000000000,0.0000000000,0.0000000000,-0.1831019379,0.2302535245,0.2515224341,-0.0259882487,-0.5268468023,0.4872992878,-1.2648931834,-1.9884885861,-0.7885661573,-1.0567734201,0.5386729987,-1.0160229475,0.3604729830,0.5183947847,-0.4036728137,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
29,Tommy Robredo,Roger Federer,2005,159,64.0000000000,16.0000000000,103990.0000000000,103819.0000000000,0.0000000000,0.0000000000,-0.4804504231,-0.1528989144,1.1498895958,-1.2992460296,-1.9636405878,-0.7119732252,-0.0706532023,0.3079438679,0.3727109101,-1.6971856257,-2.6761871264,-1.2814689958,0.9469518052,2.0502211086,-0.5128297317,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
30,Guillermo Coria,Mario Ancic,2005,159,64.0000000000,16.0000000000,103909.0000000000,104339.0000000000,0.0000000000,0.0000000000,-2.0663090106,0.5403938331,-0.9463004481,0.2483325318,1.3849178766,1.5864202795,0.6555686668,-3.4492819728,1.2950583917,-0.9290933732,2.0784230626,-1.6267421628,-0.3542477542,-0.2346348396,-0.8464981689,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
