,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
21,Bohdan Ulihrach,Richard Krajicek,1997,176,128.0000000000,64.0000000000,102539.0000000000,101990.0000000000,0.0000000000,0.0000000000,-0.9090588698,-0.7438293354,0.4962433072,-0.3510565146,-1.1559120002,0.0000000000,-0.9066496607,-4.4027944298,-0.7627575199,-2.9318705041,-0.2931481651,-1.5157200838,0.3865458468,1.5101411440,-2.4880040351,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
22,Carlos Costa,Petr Korda,1997,176,128.0000000000,64.0000000000,101475.0000000000,101434.0000000000,0.0000000000,0.0000000000,-0.8009814233,-0.0350560927,1.4318416288,-0.1652023657,0.0275048864,0.0000000000,1.9362022789,0.7570050369,-1.2008825096,0.8377415371,0.4905787064,0.6818216477,-1.1783769409,-0.3209217520,0.7004797682,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
23,Magnus Larsson,Felix Mantilla,1997,176,128.0000000000,64.0000000000,101723.0000000000,102456.0000000000,0.0000000000,0.0000000000,1.3605675064,1.0970205325,0.5947273411,-0.1706310951,-0.3857412837,0.0000000000,-0.2985747375,-0.7447514717,0.3024360240,1.3010841858,-1.6451074187,0.1120306040,0.9116042462,-0.3922694157,-1.4308121719,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
24,Jan Siemerink,Mark Philippoussis,1997,176,128.0000000000,32.0000000000,101733.0000000000,102882.0000000000,0.0000000000,0.0000000000,-1.4494461022,1.5908750753,0.1023071718,0.0005335507,-0.4070833944,0.0000000000,0.0002836211,-0.7596837824,-0.9047328795,-0.4933622835,-0.7536254850,-2.3317764601,0.2440147161,1.4300469569,-3.3327222071,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
25,Mark Woodforde,Albert Costa,1997,176,128.0000000000,32.0000000000,101185.0000000000,102610.0000000000,0.0000000000,0.0000000000,0.8201802740,2.3506010059,1.6288096965,-0.3322156301,-0.9979560150,0.0000000000,0.5523614484,-0.1354874714,-1.6577120465,1.4145499096,-1.6876536293,-0.1790373566,0.2079516195,0.2997284490,1.5148140295,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
26,Todd Martin,Pete Sampras,1998,175,128.0000000000,128.0000000000,101774.0000000000,101948.0000000000,0.0000000000,0.0000000000,1.3605675064,0.2850353493,0.7670744003,-0.8223979646,-0.8304336489,0.0000000000,0.3471371637,-1.5756509061,1.2918166625,0.3796554084,-0.5453216633,0.4569944637,-1.2223888293,0.2548081460,-0.3063152438,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
27,Andrei Medvedev,Andrea Gaudenzi,1998,175,128.0000000000,128.0000000000,102446.0000000000,102247.0000000000,0.0000000000,0.0000000000,1.0363351670,-0.2356028181,0.8163164172,-0.0793007058,1.2129363867,0.0000000000,2.6294213820,0.8281574896,-0.9670873398,0.4515242155,-0.0832126220,1.0488823886,-1.0582178246,0.8275313851,0.8409365237,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
28,Todd Woodbridge,Karol Kucera,1998,175,128.0000000000,128.0000000000,101889.0000000000,102344.0000000000,0.0000000000,0.0000000000,-1.1252137627,0.7207501433,0.6193483495,-0.3453084482,0.9520106517,0.0000000000,-0.4914295210,-1.5821566656,0.7598879627,-1.0569260621,1.7525408912,-0.6989930277,-0.8171434307,-0.9120262857,-0.7081772017,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
29,Jonas Bjorkman,Thomas Muster,1998,175,128.0000000000,128.0000000000,102035.0000000000,101404.0000000000,0.0000000000,0.0000000000,0.2797930416,-1.0436692612,-0.4147340059,0.4022595291,-0.2164395648,0.0000000000,-0.5588457978,0.0501568679,-1.5267659055,0.5911448377,-0.4788048807,0.6196183386,0.5350993706,-0.7010347766,-1.5959611379,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
30,Brett Steven,Marcelo Rios,1998,175,128.0000000000,128.0000000000,101601.0000000000,102701.0000000000,0.0000000000,0.0000000000,1.0363351670,1.6137387668,1.0379054934,-0.7789681291,-0.9885104197,0.0000000000,0.0982284081,-0.3341970574,1.9958771167,-1.4035220283,-0.4747004291,-0.2007360872,-1.1020501701,0.9157696871,-1.6625816582,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
