,PlayerA_name,PlayerB_name,tourney_date,PlayerA_id,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,best_of,minutes,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_12.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,PlayerA_hand_L,PlayerA_hand_R,PlayerB_hand_L,PlayerB_hand_R,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
19122,JONAS BJORKMAN,FABRICE SANTORO,19980119,102035,183,26,4,2870,102148,178,25,22,1480,5,111,3,2,91,61,47,16,16,4,7,4,2,111,60,35,24,15,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19124,CEDRIC PIOLINE,ALEX CORRETJA,19980119,101611,188,29,21,1534,102374,180,24,13,2275,5,126,3,2,106,71,47,20,13,8,9,2,2,80,48,27,13,12,7,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19133,ALBERTO BERASATEGUI,PATRICK RAFTER,19980119,102238,173,25,25,1427,102158,185,25,2,3250,5,172,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19137,PETR KORDA,CEDRIC PIOLINE,19980119,101434,190,30,7,2495,101611,188,29,21,1534,5,130,14,4,117,79,64,21,19,5,8,4,0,111,82,53,15,19,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
19142,KAROL KUCERA,PETE SAMPRAS,19980119,102344,188,24,20,1569,101948,185,26,1,4547,5,150,19,4,150,104,76,25,20,4,7,7,3,115,70,48,20,19,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
19143,PETR KORDA,JONAS BJORKMAN,19980119,101434,190,30,7,2495,102035,183,26,4,2870,5,184,5,6,164,83,62,37,24,9,14,5,4,158,92,56,36,24,6,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
19145,MARCELO RIOS,ALBERTO BERASATEGUI,19980119,102701,175,22,8,2446,102238,173,25,25,1427,5,153,9,6,136,90,70,21,19,6,8,3,5,163,132,75,14,19,13,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
19146,PETR KORDA,KAROL KUCERA,19980119,101434,190,30,7,2495,102344,188,24,20,1569,5,128,0,3,110,59,35,29,16,3,7,3,8,116,61,42,16,16,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
19148,PETR KORDA,MARCELO RIOS,19980119,101434,190,30,7,2495,102701,175,22,8,2446,5,85,4,4,85,47,38,18,12,5,6,2,4,77,43,27,8,12,5,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
19153,PETR KORDA,FABRICE SANTORO,19981012,101434,190,31,5,2815,102148,178,26,27,1281,3,99,4,2,64,30,23,23,10,2,3,3,0,69,33,24,20,10,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
19156,RICHARD KRAJICEK,ALBERT COSTA,19981012,101990,196,27,11,2448,102610,180,23,15,1823,3,138,21,6,92,55,49,20,15,3,3,4,12,137,63,45,39,16,8,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19157,KAROL KUCERA,WAYNE FERREIRA,19981012,102344,188,25,7,2646,101965,185,27,30,1143,3,121,9,14,107,59,41,18,15,13,18,6,4,102,50,35,22,16,6,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19161,GREG RUSEDSKI,YEVGENY KAFELNIKOV,19981012,102257,193,25,17,1724,102338,190,25,9,2508,3,105,20,5,88,56,47,17,15,3,5,10,3,99,56,38,28,15,4,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
19162,THOMAS MUSTER,JAN SIEMERINK,19981012,101404,180,31,23,1509,101733,183,28,14,1837,3,68,3,2,54,33,27,12,9,0,0,6,6,54,27,22,10,9,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
19164,PATRICK RAFTER,BYRON BLACK,19981012,102158,185,26,2,3575,101647,175,29,28,1254,3,88,15,3,74,55,40,13,11,4,5,4,1,69,42,29,13,10,5,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19166,TIM HENMAN,THOMAS ENQVIST,19981012,102450,185,24,10,2460,102358,190,25,19,1647,3,111,18,3,90,48,41,25,15,0,0,9,4,84,44,37,22,15,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
19167,TODD MARTIN,PETR KORDA,19981012,101774,198,28,29,1205,101434,190,31,5,2815,3,89,11,1,70,43,32,14,10,3,5,5,5,66,34,27,10,11,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
19168,CEDRIC PIOLINE,RICHARD KRAJICEK,19981012,101611,188,29,16,1766,101990,196,27,11,2448,3,151,6,8,117,69,60,21,17,2,3,27,5,119,76,59,19,17,9,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
19171,GREG RUSEDSKI,THOMAS MUSTER,19981012,102257,193,25,17,1724,101404,180,31,23,1509,3,64,8,4,45,22,21,16,9,0,0,1,3,58,28,18,16,10,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
19173,PETE SAMPRAS,TIM HENMAN,19981012,101948,185,27,1,4015,102450,185,24,10,2460,3,57,10,2,40,23,20,10,7,0,0,3,4,48,21,14,6,8,4,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
19174,TODD MARTIN,CEDRIC PIOLINE,19981012,101774,198,28,29,1205,101611,188,29,16,1766,3,79,7,3,54,29,23,13,10,0,2,6,5,55,33,24,7,9,4,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
19175,KAROL KUCERA,JONAS BJORKMAN,19981012,102344,188,25,7,2646,102035,183,27,12,2101,3,77,3,5,55,35,27,9,8,4,5,0,5,72,44,26,9,9,7,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
19176,GREG RUSEDSKI,PATRICK RAFTER,19981012,102257,193,25,17,1724,102158,185,26,2,3575,3,75,8,3,63,35,32,14,11,1,2,4,1,61,44,30,9,10,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
19177,PETE SAMPRAS,TODD MARTIN,19981012,101948,185,27,1,4015,101774,198,28,29,1205,3,83,11,5,80,55,42,12,11,2,2,9,6,61,34,27,16,10,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
19178,KAROL KUCERA,GREG RUSEDSKI,19981012,102344,188,25,7,2646,102257,193,25,17,1724,3,104,7,4,85,51,34,20,11,5,7,10,7,88,51,34,18,11,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
19179,PETE SAMPRAS,KAROL KUCERA,19981012,101948,185,27,1,4015,102344,188,25,7,2646,5,127,13,4,101,55,44,25,15,4,5,10,6,98,60,41,15,13,10,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
