,Year,Day,PlayerA_id,PlayerA_name,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_name,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerA_minutes,PlayerA_bestof,PlayerA_hand_L,PlayerA_hand_R,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerB_minutes,PlayerB_bestof,PlayerA_hand_L,PlayerA_hand_R,best_of,minutes,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
35,1993,125,101404,THOMAS MUSTER,180,26,15,1538,101990,RICHARD KRAJICEK,196,21,11,1813,3.982799,2.856122,63.182167,32.785811,22.616764,17.236880,9.486783,3.668173,5.580952,88.857143,3.000000,1,0,10.752709,4.244970,81.134603,47.509830,40.263866,17.775285,13.289007,1.539824,2.552135,97.333333,3.222222,1,0,3,107,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,1993,125,102446,ANDREI MEDVEDEV,193,19,19,1414,100656,IVAN LENDL,188,33,9,1978,4.182985,2.715065,73.213563,41.411830,29.159475,13.283105,11.859568,4.239985,8.390491,92.777778,3.222222,0,1,9.638889,1.333333,77.833333,46.694444,34.416667,17.833333,10.527778,4.861111,5.416667,103.000000,3.000000,0,1,3,116,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,1993,125,102446,ANDREI MEDVEDEV,193,19,19,1414,101404,THOMAS MUSTER,180,26,15,1538,4.149819,2.684778,72.441682,41.100936,28.941255,12.900295,11.808299,4.268022,8.481890,92.777778,3.222222,0,1,4.143607,2.978426,63.187783,32.102152,22.194669,17.576843,9.372650,3.641177,5.521088,88.857143,3.000000,0,1,3,65,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
38,1993,125,102446,ANDREI MEDVEDEV,193,19,19,1414,101843,SERGI BRUGUERA,188,22,17,1462,4.144060,2.651277,71.569709,40.666487,28.660227,12.515340,11.722680,4.336363,8.613470,92.777778,3.222222,0,1,2.979938,2.465535,78.764403,46.378601,31.747942,14.292953,11.284208,5.225823,8.875000,93.666667,3.333333,0,1,5,163,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,1993,61,101736,ANDRE AGASSI,180,23,9,1852,100763,BRAD GILBERT,185,31,25,1019,0.000000,2.000000,81.000000,68.000000,51.000000,6.000000,14.000000,0.000000,2.000000,142.000000,3.000000,0,1,10.000000,6.000000,112.000000,58.000000,42.000000,19.000000,14.000000,10.000000,16.000000,142.000000,3.000000,0,1,3,142,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,1993,325,101475,CARLOS COSTA,183,26,30,965,101230,ANDREI CHESNOKOV,188,28,26,1099,4.499504,1.893307,86.921901,46.332794,31.043813,16.687612,12.375403,5.385857,10.140845,116.317402,3.000000,0,1,1.456009,1.463683,63.261677,36.419417,21.845340,12.229177,8.905889,5.386353,9.018973,86.651757,3.000000,0,1,3,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
41,1993,325,101475,CARLOS COSTA,183,26,30,965,101948,PETE SAMPRAS,185,22,1,3918,4.488599,1.985435,87.343282,46.534883,31.050456,16.553601,12.389002,5.379380,10.248846,116.317402,3.000000,0,1,9.196135,4.849217,73.704889,41.543715,33.020655,15.944855,11.469915,4.139596,5.654018,112.999044,3.402910,0,1,3,117,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
42,1993,325,101774,TODD MARTIN,198,23,14,1631,101191,RICHEY RENEBERG,180,28,27,991,6.837909,2.373059,89.009334,55.961703,39.894038,16.162016,13.355970,6.250439,8.742520,103.666667,3.000000,0,1,4.712778,1.591111,60.957778,30.190556,17.674444,13.761667,8.593333,5.126667,9.083333,75.200000,3.000000,0,1,3,70,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
43,1993,325,101589,ARNAUD BOETSCH,183,25,22,1195,101475,CARLOS COSTA,183,26,30,965,4.248685,3.268937,64.588903,36.546884,25.401486,14.294416,10.738580,2.298997,5.365679,92.009446,3.000000,0,1,4.398678,2.063683,87.088982,46.377714,30.863156,16.343569,12.333491,5.297655,10.212311,116.317402,3.000000,0,1,3,138,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
44,1993,325,101964,GORAN IVANISEVIC,193,22,10,2020,101774,TODD MARTIN,198,23,14,1631,10.552635,4.273167,69.353098,37.118980,27.635622,17.030965,10.986149,4.118559,6.482076,93.000000,3.600000,1,0,6.819526,2.453977,89.963627,56.491561,40.241756,16.382461,13.500969,6.320827,8.851534,103.666667,3.000000,1,0,3,63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
