PlayerA_name,PlayerB_name,Year,Day,best_of,draw_size,round,minutes,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerA Win,surface_Carpet,surface_Clay,surface_Grass,surface_Hard
Alexander Zverev,Aljaz Bedene,2019,7,0,28,0,115,0,0,0,0,1,1,0,21.352498,0,0,11,6,77,46,38,14,14,1,3,0,29.166324,0,0,7,2,84,51,34,8,13,2,8,1,0,0,0,1
Diego Sebastian Schwartzman,Aljaz Bedene,2019,11,0,28,0,119,0,0,0,0,1,1,0,26.028747,0,0,0,2,68,52,34,7,13,2,7,0,29.166324,0,0,5,2,93,49,31,17,13,8,14,1,0,0,0,1
Guillermo Garcia Lopez,Aljaz Bedene,2019,31,0,28,0,167,0,0,0,0,1,1,0,35.211498999999996,0,0,16,2,104,65,47,13,17,3,9,0,29.166324,0,0,3,4,101,62,44,16,17,3,9,1,0,0,0,1
Pablo Cuevas,Aljaz Bedene,2019,14,0,128,0,102,0,0,0,0,1,1,0,32.555784,0,0,4,2,75,41,27,14,9,9,12,0,29.166324,0,0,6,2,53,31,28,12,10,1,2,1,0,0,0,1
Milos Raonic,Aljaz Bedene,2019,31,0,32,0,47,0,0,0,0,1,1,0,27.665982,0,0,4,1,43,30,16,2,7,4,8,0,29.166324,0,0,18,0,38,29,27,5,8,0,0,1,0,0,0,1
Adrian Mannarino,Aljaz Bedene,2019,7,0,96,0,134,0,0,0,0,0,1,0,30.121834000000003,0,0,5,1,81,45,32,20,14,3,6,0,29.166324,0,0,4,8,98,44,29,25,14,9,14,1,0,0,0,1
Alexander Zverev,David Ferrer,2019,25,0,32,0,88,0,0,0,0,1,1,0,21.352498,0,0,0,2,59,36,23,9,9,3,6,0,36.364134,0,0,9,6,62,37,29,15,10,3,4,1,0,0,0,1
Pablo Carreno Busta,David Ferrer,2019,6,0,28,0,19,0,0,0,0,1,1,0,27.164956,0,0,0,0,8,2,2,3,1,0,0,0,36.364134,0,0,0,0,11,9,5,2,1,1,1,1,0,0,0,1
Diego Sebastian Schwartzman,Marius Copil,2019,25,0,32,0,122,0,0,0,0,1,1,0,26.028747,0,0,7,3,93,43,25,22,13,9,16,0,27.86037,0,0,1,4,79,53,36,10,13,5,9,1,0,0,0,1
David Goffin,Marius Copil,2019,7,0,28,0,162,0,0,0,0,1,1,0,27.720739000000002,0,0,12,2,112,82,66,15,21,1,3,0,27.86037,0,0,20,3,123,74,53,25,21,3,8,1,0,0,0,1
